Date,Open,High,Low,Close,Adj Close,Volume
1/28/2022,56.740002,57.599998,55.91,57.540001,55.182335,5027100
1/31/2022,57.73,60.389999,57.66,60.07,57.608662,9059300
2/1/2022,59.91,60.619999,59.57,60.48,58.001862,4080600
2/2/2022,60.470001,60.59,57.419998,58.540001,56.141354,8826200
2/3/2022,58,58.09,56.93,57.189999,54.846672,6287200
2/4/2022,57.34,60.27,57.25,59.290001,56.86063,10587000
2/7/2022,59.18,59.73,58.540001,58.700001,56.2948,5718400
2/8/2022,58.439999,59.91,58.439999,59.73,57.282597,3770700
2/9/2022,60.369999,60.66,59.700001,60.610001,58.126541,3448800
2/10/2022,59.490002,60.029999,58.48,58.810001,56.400291,3976200
2/11/2022,59.310001,59.939999,58.049999,58.380001,55.987919,5897200
2/14/2022,58.529999,58.639999,57.68,58.18,55.796101,5714500
2/15/2022,58.959999,59.990002,58.630001,59.93,57.474407,3803800
2/16/2022,59.689999,59.75,57.259998,57.650002,55.287827,5201800
2/17/2022,57.48,57.700001,55.529999,55.759998,53.475262,5659300
2/18/2022,55.360001,55.889999,54.27,55.459999,53.187561,7219600
2/22/2022,55.119999,56.75,54.889999,55.150002,52.890263,6951000
2/23/2022,55.529999,55.889999,54.470001,54.59,52.353203,11482500
2/24/2022,50.23,55.639999,49.529999,55.439999,53.168369,24110800
2/25/2022,55.369999,55.57,53.380001,54.599998,52.362801,8340200
2/28/2022,54.32,54.990002,53.41,54.59,52.353203,9281300
3/1/2022,54.560001,55.049999,53.939999,54.349998,52.123035,9298800
3/2/2022,54.349998,55.450001,53.68,55.09,52.832722,8496700
3/3/2022,55.639999,55.639999,53.459999,54.419998,52.190166,6139200
3/4/2022,54.290001,56.439999,54.09,55.66,53.379368,8300800
3/7/2022,55.5,56.459999,54.740002,54.849998,52.602551,9961700
3/8/2022,54.939999,55.93,53.25,53.310001,51.125656,9549000
3/9/2022,53.93,53.93,52.599998,53.060001,51.096767,10250400
3/10/2022,53.02,55.48,51.279999,52.360001,50.422661,18926000
3/11/2022,52.900002,52.900002,50,50.060001,48.207764,9217700
3/14/2022,50.200001,53.25,50.009998,52.09,50.162651,9205600
3/15/2022,52.509998,54.560001,52.220001,53.939999,51.944199,8927400
3/16/2022,53.790001,54.900002,53.080002,54.77,52.743492,7561500
3/17/2022,54.279999,55.860001,54.060001,55.669998,53.610195,5974000
3/18/2022,55.099998,56.669998,55.099998,56.02,53.947239,10588500
3/21/2022,55.580002,56.25,54.880001,55.32,53.27314,5918500
3/22/2022,54.98,56.259998,54.950001,55.75,53.687229,7120300
3/23/2022,55.419998,56.060001,54.650002,55.599998,53.542782,5329000
3/24/2022,55.740002,57.389999,55.540001,57.23,55.112465,6892900
3/25/2022,57.380001,58.049999,56.950001,57.419998,55.295437,6240900
3/28/2022,57.419998,58.84,56.93,58.779999,56.605118,7156400
3/29/2022,59.380001,60.389999,59.380001,60.209999,57.982208,5341100
3/30/2022,59.73,60.34,59.119999,59.360001,57.163662,5943000
3/31/2022,59.16,59.16,57.240002,57.259998,55.141361,9380700
4/1/2022,57.869999,58.330002,57.299999,57.709999,55.574707,4950100
4/4/2022,58.080002,58.369999,56.490002,56.73,54.630966,6651900
4/5/2022,56.68,57.73,55.98,56.400002,54.313187,5040600
4/6/2022,55.830002,56.150002,53.48,54.119999,52.117542,6359400
4/7/2022,53.880001,54.84,53.5,54.380001,52.367916,4998700
4/8/2022,54.5,55.439999,54.119999,55.029999,52.99387,3747400
4/11/2022,54.360001,56.23,54.360001,54.889999,52.859051,4101900
4/12/2022,55.330002,55.779999,54.119999,54.240002,52.233105,3987300
4/13/2022,54.09,55.470001,53.959999,55.119999,53.08054,3787000
4/14/2022,55.200001,55.470001,53.98,54.150002,52.146431,4452200
4/18/2022,53.830002,54.75,53.669998,54.560001,52.541264,4115300
4/19/2022,54.16,55.220001,54.16,55.169998,53.128689,4698300
4/20/2022,55.32,55.360001,54.759998,54.860001,52.830162,4937900
4/21/2022,55.23,55.860001,54.549999,54.77,52.743492,4408600
4/22/2022,54.599998,54.830002,53.080002,53.169998,51.202686,4914800
4/25/2022,52.93,53.880001,52.709999,53.630001,51.645676,5503600
4/26/2022,53.59,53.959999,52.48,53.099998,51.135277,4951700
4/27/2022,52.990002,53.889999,52,52.060001,50.133762,4905700
4/28/2022,52.470001,54.049999,52.150002,53.77,51.780491,6008500
4/29/2022,51.52,53.98,51.52,51.919998,49.998947,8341100
5/2/2022,51.970001,53.220001,51.459999,53.150002,51.183434,6139800
5/3/2022,53.279999,54.25,53.02,53.459999,51.48196,8059000
5/4/2022,53.48,54.490002,52.32,54.419998,52.406433,9500200
5/5/2022,51.209999,51.82,47.290001,48.040001,46.262508,19285100
5/6/2022,48,49.639999,47.029999,48.810001,47.004017,11281200
5/9/2022,48.080002,50.919998,47.669998,49.259998,47.437359,12832100
5/10/2022,49.970001,50.889999,48.380001,48.59,46.792152,7614900
5/11/2022,48.310001,48.950001,46.470001,46.580002,44.856522,7085300
5/12/2022,45.98,47.82,45.189999,46.16,44.452061,8920400
5/13/2022,46.459999,46.759998,45.720001,46.650002,44.923935,6455200
5/16/2022,46.490002,46.490002,44.91,45.09,43.42165,6940600
5/17/2022,45.639999,47.119999,45.400002,46.919998,45.183941,5704500
5/18/2022,46.099998,46.779999,44.650002,44.939999,43.277203,5883200
5/19/2022,44.619999,45.330002,44.02,44.619999,42.969044,7668700
5/20/2022,44.959999,45.32,43.279999,44.310001,42.670521,7445800
5/23/2022,44.740002,45.349998,44,45.189999,43.517956,6122500
5/24/2022,44.400002,45.630001,43.619999,44.18,42.545322,8315100
5/25/2022,43.869999,45.130001,43.869999,44.810001,43.152016,7522100
5/26/2022,45.68,46.810001,45.490002,46.470001,44.750595,6299000
5/27/2022,47.220001,48.830002,47.049999,48.82,47.013641,8695400
5/31/2022,48.439999,49.299999,47.32,48.669998,47.081356,17674900
6/1/2022,49.080002,49.080002,46.810001,46.970001,45.436852,7174800
6/2/2022,46.860001,47.779999,46.450001,47.77,46.210735,5287700
6/3/2022,47.32,47.549999,46.790001,47.09,45.552933,6122200
6/6/2022,47.990002,48.759998,47.470001,47.669998,46.113998,5350100
6/7/2022,46.900002,47.669998,46.68,47.509998,45.959217,5114200
6/8/2022,47.82,48.139999,47.299999,47.68,46.123672,4401800
6/9/2022,47.200001,47.439999,46.43,46.689999,45.165985,5139100
6/10/2022,44.349998,45.580002,44.279999,44.279999,42.834652,8764800
6/13/2022,43.009998,43.970001,42.669998,42.93,41.528717,9224400
6/14/2022,43.200001,43.59,42.209999,42.580002,41.190144,5288400
6/15/2022,42.970001,44.049999,42.580002,43.509998,42.089787,8232200
6/16/2022,42.290001,42.5,40.52,41.080002,39.739109,9954900
6/17/2022,41.509998,42.57,41.43,42.209999,40.832222,21193800
6/21/2022,42.700001,43.470001,42.200001,42.290001,40.909607,7628500
6/22/2022,41.880001,43.66,41.830002,43.130001,41.722191,7343000
6/23/2022,42.169998,43.110001,42.049999,42.970001,41.567413,5244700
6/24/2022,43.349998,45.779999,43.220001,45.669998,44.179279,20444400
6/27/2022,45.869999,45.939999,44.220001,44.380001,42.931381,4703400
6/28/2022,43.400002,44.48,42.599998,42.650002,41.257858,5435600
6/29/2022,42.580002,43.029999,42.299999,42.669998,41.277203,3517100
6/30/2022,42.419998,42.419998,41.02,41.669998,40.309845,6571700
7/1/2022,41.939999,43.040001,41.759998,42.889999,41.490025,4950800
7/5/2022,42.259998,43.959999,41.889999,43.93,42.496078,6413700
7/6/2022,44.400002,44.959999,43.560001,43.720001,42.292931,6444000
7/7/2022,43.720001,44.07,43.189999,43.82,42.38966,6216100
7/8/2022,43.400002,43.830002,42.75,43.139999,41.731861,3716300
7/11/2022,43.02,43.16,42.389999,42.830002,41.431984,5986800
7/12/2022,43.060001,43.950001,42.869999,43.200001,41.789906,4751000
7/13/2022,42.200001,43.150002,41.939999,42.490002,41.103081,4439900
7/14/2022,42.200001,42.360001,41.220001,42.029999,40.658092,3624800
7/15/2022,42.990002,43.959999,42.849998,43.610001,42.186523,6407300
7/18/2022,43.98,44.73,43.349998,43.59,42.167171,4544300
7/19/2022,43.889999,45.490002,43.889999,45.380001,43.89875,4290500
7/20/2022,45.59,46.470001,45.419998,46.189999,44.682308,4066000
7/21/2022,46.080002,46.669998,45.849998,46.650002,45.127296,2964100
7/22/2022,46.59,47.369999,46.360001,46.68,45.156311,4908200
7/25/2022,46.68,47.040001,46.139999,46.560001,45.040234,4042600
7/26/2022,45.389999,45.790001,45.25,45.66,44.169609,3834200
7/27/2022,45.950001,47.52,45.830002,47.18,45.639992,4123000
7/28/2022,47.369999,48.240002,46.48,48.209999,46.636368,4914700
7/29/2022,49.130001,49.73,48.380001,48.630001,47.042667,7241400
8/1/2022,47.849998,49.34,47.650002,48.939999,47.342541,4805800
8/2/2022,48.689999,48.84,47.75,48.43,46.84919,5250700
8/3/2022,49,50.82,49,50.48,48.832279,8749800
8/4/2022,50.099998,50.189999,46.66,47.869999,46.307465,10604500
8/5/2022,47.330002,47.66,46.689999,47.279999,45.736725,5487400
